series,horizon,median,pi80_lo,pi80_hi,pi90_lo,pi90_hi
gurkor,1,13.790589795463404,13.735203850391647,13.845072251933574,13.715902586110113,13.86300852907131
gurkor,2,13.791539728795847,13.711359670212207,13.872976825437005,13.688471210095052,13.896895003748156
gurkor,3,13.790660067490457,13.690836550233376,13.892470187760246,13.661758296729268,13.922056195935982
gurkor,4,13.791743697008322,13.673907717875,13.906946473646839,13.640444708307822,13.940952696888115
gurkor,5,13.789520247472375,13.65960895466612,13.921263438035593,13.622955826552214,13.961622576554063
gurkor,6,13.788614091547288,13.646409313516791,13.935769276401865,13.602608099504547,13.978866983476882
gurkor,7,13.787210293563163,13.632116496275868,13.946924028219552,13.586398332835943,13.997589483714501
gurkor,8,13.788620569178706,13.61736295409114,13.95714974152191,13.567861140208738,14.011414924278638
gurkor,9,13.789690906741827,13.611894971882851,13.968867385387272,13.559562551818876,14.030074775187188
gurkor,10,13.78789040979598,13.600173895086945,13.980099818502417,13.546227982758518,14.047157863282159
gurkor,11,13.786714763829078,13.591740084532624,13.990555757573732,13.527253419657157,14.059288729798135
gurkor,12,13.78862153305781,13.5799224293506,14.003364508769888,13.521319798106028,14.075200478637989
gurkor,13,13.784527186353998,13.574045016059719,14.016423177184182,13.504096678002949,14.087633837127617
gurkor,14,13.787122433449454,13.565852811680173,14.027681096926976,13.49508671715615,14.096281251733894
gurkor,15,13.785195943600002,13.555712920457053,14.030552223882449,13.490447198276174,14.1160456859146
gurkor,16,13.786801052226023,13.552525200496921,14.046782042579869,13.4828762949894,14.128726000972016
gurkor,17,13.786674747600053,13.546145729845897,14.052216647303501,13.465867269096886,14.143247554797114
gurkor,18,13.78535360823211,13.533879765990825,14.062819981123857,13.448751277696463,14.153473240869923
gurkor,19,13.78687935257552,13.52494782471387,14.076016064528124,13.437309764834845,14.17810234525523
gurkor,20,13.786642393263278,13.514269978978495,14.087700230005092,13.432453862504424,14.189807355526115
gurkor,21,13.787707692199408,13.50975238880965,14.100824368170775,13.415096807064081,14.199900515794267
gurkor,22,13.78544297034699,13.496244023564529,14.099961940963476,13.407023469708896,14.20701491822206
gurkor,23,13.789547577383928,13.494676811247006,14.110587484830639,13.39910902179971,14.20713723748387
gurkor,24,13.789007904915625,13.483888109465854,14.11760798806472,13.3842421212226,14.221880977224142
gurkor,25,13.791119049080073,13.477834650074113,14.122905431297292,13.383552053989838,14.236454148952204
gurkor,26,13.786932882755337,13.477804462242466,14.136499673077296,13.37362610078387,14.243975785515362
gurkor,27,13.787483229245517,13.464870771772862,14.147592321836699,13.359424361629882,14.257797163783279
gurkor,28,13.786994426298829,13.460147155141192,14.15205576668061,13.359765154230605,14.273063629395104
gurkor,29,13.785886024270281,13.451086027168298,14.158493817961718,13.35426032540905,14.273479895255981
gurkor,30,13.78615457243583,13.440475117322933,14.171616576102032,13.337204204456777,14.273622917608483
gurkor,31,13.787562117452318,13.43014003242976,14.172379453263842,13.331646364430418,14.29129736726795
gurkor,32,13.78299243301166,13.424554393222467,14.17477806030853,13.314279408397265,14.311703522494042
