series,horizon,median,pi80_lo,pi80_hi,pi90_lo,pi90_hi
gurkor,1,13.79303979142041,13.746581519312333,13.840084506325109,13.728323704207902,13.856292685349304
gurkor,2,13.797192375281043,13.727517726858961,13.864545554392496,13.703794607129412,13.883921041372128
gurkor,3,13.800001055539958,13.712932126195684,13.880220532804058,13.685714845968374,13.905463824921759
gurkor,4,13.802107046257444,13.701669889186697,13.897701792150361,13.671965623208889,13.92722964077456
gurkor,5,13.804304146781266,13.692340879175447,13.910554785416672,13.658867691131977,13.94349590077015
gurkor,6,13.806889916047414,13.682672544726532,13.92404079900381,13.645343949469018,13.960122312737221
gurkor,7,13.808066234357423,13.674417918367634,13.938810998663026,13.634815350397336,13.978193926586025
gurkor,8,13.811017758989369,13.668545301875856,13.950082321763919,13.625756120000549,13.992185948348807
gurkor,9,13.811302221216202,13.659963293035212,13.959597444228827,13.61552123066421,14.004161616515658
gurkor,10,13.811832560622022,13.655344216048098,13.968377814992458,13.606729066351114,14.014149071026234
gurkor,11,13.815105036217965,13.64788589873145,13.97608586521611,13.598066795542543,14.02390691110184
gurkor,12,13.816037222278364,13.643591056387011,13.986692243216686,13.590666118681886,14.037058743945844
gurkor,13,13.818716106479703,13.639894243409652,13.996861957507809,13.583280547500308,14.048722131859364
gurkor,14,13.819634627214276,13.637939526568866,14.008337725899379,13.57930822176389,14.062486069759737
gurkor,15,13.820495123303735,13.633159208694165,14.018562412607178,13.572651168135716,14.072798638725306
gurkor,16,13.824289775662532,13.626884772504178,14.025128597653557,13.566578041737808,14.078727219038011
gurkor,17,13.826125543147182,13.62054890312031,14.034457375265623,13.559377845004773,14.091810204037017
gurkor,18,13.829263979126138,13.618554286632738,14.040631061092892,13.555745284710635,14.099092656295134
gurkor,19,13.831564097059495,13.615902236244837,14.048260455566158,13.544457288223336,14.107600384297093
gurkor,20,13.833597619926199,13.611714442164512,14.055053597778985,13.540837324206358,14.119152226667863
gurkor,21,13.836449680124467,13.606250581656251,14.062398008439324,13.538692118592133,14.129522731603103
