series,horizon,median,pi80_lo,pi80_hi,pi90_lo,pi90_hi
gurkor,1,13.794067263208156,13.724816416833406,13.86366752625836,13.705248088723556,13.88346204535086
gurkor,2,13.796185429854214,13.698336848744963,13.894732953100075,13.670724603520622,13.922797652284268
gurkor,3,13.798303921758208,13.678541673505459,13.919114746419826,13.644780240522504,13.953554968351558
gurkor,4,13.800422738970097,13.662205055647124,13.940038741810701,13.623274709796432,13.979874283628007
gurkor,5,13.802541881539822,13.64807770989263,13.958754224675321,13.604604585519143,14.003359024079355
gurkor,6,13.804661349517348,13.635519032103481,13.975901799277539,13.587947670933316,14.024831386605461
gurkor,7,13.806781142952651,13.624148535545698,13.991861952476695,13.572815623754607,14.044779713633234
gurkor,8,13.808901261895695,13.61371835176602,14.006882552851412,13.558890313802147,14.063522135486096
gurkor,9,13.811021706396476,13.604056338169697,14.021135743121858,13.545950802895081,14.081279590487524
gurkor,10,13.813142476504972,13.595037178669678,14.034746839500487,13.533836253251742,14.098212916561785
gurkor,11,13.815263572271189,13.58656628471493,14.047810430663782,13.522425264883278,14.114443513840394
gurkor,12,13.817384993745138,13.578570182017177,14.060399991025491,13.511623537225294,14.130065683030429
gurkor,13,13.819506740976825,13.5709904495463,14.072573941741197,13.501356090016621,14.145154404535731
gurkor,14,13.821628814016282,13.563779727215707,14.084379643023015,13.491562139286858,14.159770462469446
gurkor,15,13.823751212913528,13.55689898966385,14.095856120357992,13.482191598343437,14.173963943666866
gurkor,16,13.825873937718605,13.550315627466,14.107035983296411,13.473202615072054,14.187776700385077
gurkor,17,13.827996988481566,13.544002061428413,14.117946811157601,13.464559793432404,14.201244128807188
gurkor,18,13.83012036525245,13.537934719414379,14.128612176203829,13.456232880252228,14.214396482248253
gurkor,19,13.83224406808133,13.532093266113362,14.13905241387126,13.448195776665708,14.227259859716959
gurkor,20,13.834368097018265,13.526460013286494,14.149285212524369,13.44042578118705,14.239856962841941
gurkor,21,13.836492452113333,13.5210194613493,14.159326071873284,13.432903001351045,14.252207684231314
gurkor,22,13.838617133416626,13.515757938222267,14.169188664123206,13.425609890193227,14.264329570992468
gurkor,23,13.840742140978223,13.51066331135607,14.178885121949122,13.418530876647141,14.276238194334777
gurkor,24,13.842867474848228,13.505724755588696,14.188426270638763,13.411652067599572,14.287947447514432
gurkor,25,13.844993135076756,13.500932564149231,14.19782181708879,13.40496100532296,14.299469788401993
gurkor,26,13.847119121713906,13.496277993394788,14.207080505067818,13.398446468202799,14.310816438754955
gurkor,27,13.849245434809815,13.491753134201884,14.21621024382512,13.392098305675006,14.321997549280464
gurkor,28,13.8513720744146,13.487350804624704,14.225218215432283,13.38590730045837,14.333022337402769
gurkor,29,13.853499040578404,13.483064459674267,14.234110965004115,13.379865052760955,14.343899203056903
gurkor,30,13.85562633335138,13.478888114995003,14.242894477022029,13.373963882323181,14.354635826645568
gurkor,31,13.857753952783666,13.47481628190884,14.251574240289926,13.368196745050577,14.365239252406347
gurkor,32,13.859881898925437,13.470843911823902,14.260155303525586,13.362557161665562,14.375715959760003
gurkor,33,13.862010171826848,13.46696634840879,14.268642323186276,13.357039156326,14.386071924691834
gurkor,34,13.86413877153808,13.463179286246728,14.2770396048147,13.351637203560335,14.396312672816613
gurkor,35,13.866267698109326,13.459478734927828,14.2853511389467,13.346346182182208,14.406443325463949
gurkor,36,13.868396951590764,13.455860987730103,14.29358063243019,13.341161335094588,14.416468639874099
gurkor,37,13.870526532032605,13.452322594192497,14.301731535852237,13.336078234089014,14.426393044398832
gurkor,38,13.872656439485041,13.448860336004465,14.309807067649356,13.33109274890154,14.436220669445376
gurkor,39,13.874786673998297,13.445471205735078,14.317810235378511,13.326201019912942,14.445955374776297
gurkor,40,13.8769172356226,13.44215238800316,14.325743854546927,13.321399433981943,14.455600773676238
gurkor,41,13.879048124408166,13.438901242754728,14.333610565334629,13.316684602982992,14.465160254414105
gurkor,42,13.881179340405247,13.435715290366518,14.341412847490984,13.312053344687731,14.474636999361682
gurkor,43,13.883310883664075,13.432592198337643,14.349153033642962,13.307502665684698,14.484034002073836
gurkor,44,13.88544275423491,13.429529769367267,14.356833321217533,13.303029746078012,14.493354082589912
gurkor,45,13.88757495216802,13.42652593064594,14.3644557831503,13.298631925743504,14.502599901177566
gurkor,46,13.889707477513657,13.423578724212819,14.372022377528255,13.294306691953093,14.511773970708356
gurkor,47,13.891840330322115,13.420686298252111,14.379534956293394,13.29005166820441,14.520878667828203
gurkor,48,13.893973510643661,13.417846899219157,14.386995273116563,13.285864604115263,14.529916243062821
gurkor,49,13.896107018528596,13.415058864701605,14.394404990536351,13.281743366261578,14.53888882997987
gurkor,50,13.898240854027225,13.41232061693349,14.401765686444987,13.277685929853272,14.54779845351305
gurkor,51,13.900375017189841,13.409630656890696,14.409078859992828,13.273690371156267,14.55664703754003
gurkor,52,13.902509508066775,13.406987558905419,14.416345936973997,13.269754860580615,14.565436411794433
gurkor,53,13.904644326708333,13.404389965744787,14.423568274747648,13.265877656364435,14.574168318181789
gurkor,54,13.906779473164853,13.401836584105972,14.430747166742954,13.262057098792146,14.582844416561386
gurkor,55,13.908914947486682,13.39932618048515,14.437883846590106,13.25829160489282,14.591466290047885
gurkor,56,13.91105074972415,13.396857577383388,14.444979491914383,13.254579663570684,14.600035449880778
gurkor,57,13.913186879927624,13.394429649816347,14.452035227826542,13.250919831125685,14.608553339903917
gurkor,58,13.915323338147452,13.392041322098528,14.459052130138472,13.24731072712642,14.617021340692471
gurkor,59,13.917460124434012,13.389691564876326,14.466031228330229,13.243751030602294,14.625440773360866
gurkor,60,13.919597238837683,13.387379392386537,14.472973508291481,13.240239476525128,14.633812903081138
